,IsWinner,ProductId,TimeOfOfferChange,IsFeaturedMerchant,IsFulfilledByAmazon,ListingPrice,SellerFeedbackRating,SellerFeedbackCount,SellerId,ShippingPrice,ShippingTime_minHours,ShippingTime_maxHours,ShipsFromCountry,ShipsFromState
159,0,6992992079703403252,2016-02-04T04:30:14.727Z,1,0,7.41,95,4384,-2572277640783537773,11.08,24,48,CA,ON
160,0,6992992079703403252,2016-02-04T04:30:14.727Z,1,0,19.98,95,4078,-1789487307643024748,0.0,48,72,CA,ON
161,0,6992992079703403252,2016-02-04T04:30:14.727Z,1,0,15.24,96,41419,9012427554787096099,6.0,96,120,,
162,0,6992992079703403252,2016-02-04T04:30:14.727Z,1,0,21.24,95,5535,-8852182251270724705,0.0,24,48,,
163,0,6992992079703403252,2016-02-04T04:30:14.727Z,1,0,21.72,91,3459,7235704646333918828,0.0,24,48,,
164,0,6992992079703403252,2016-02-04T04:30:14.727Z,1,0,12.94,96,1790,1788801474825896666,9.98,96,120,US,NY
165,0,6992992079703403252,2016-02-04T04:30:14.727Z,1,0,30.87,96,1326,8648764257939339698,0.0,24,48,,
166,0,6992992079703403252,2016-02-04T04:30:14.727Z,1,0,31.39,96,1790,1788801474825896666,9.98,96,120,US,NY
167,0,6992992079703403252,2016-02-04T04:30:14.727Z,1,0,42.45,91,3459,7235704646333918828,0.0,24,48,,
168,0,6992992079703403252,2016-02-04T04:30:14.727Z,1,0,36.9,96,1289,403962612376694152,9.54,24,48,,
169,0,6992992079703403252,2016-02-04T04:30:14.727Z,1,0,53.94,98,1446,1163115142515862290,0.0,24,48,US,CA
170,0,6992992079703403252,2016-02-04T04:30:14.727Z,1,0,68.54,50,2,-7084126735194704117,7.08,24,48,US,CA
171,0,-5458460985938131934,2016-02-04T04:30:19.215Z,1,1,107.98,0,0,1207135739277432339,0.0,672,1008,,
172,0,-5458460985938131934,2016-02-04T04:30:19.215Z,0,0,108.07,98,3293,4143506568603310959,28.38,48,72,US,NY
173,0,-5458460985938131934,2016-02-04T04:30:19.215Z,0,0,123.59,92,1500,5477944942700666016,12.87,72,96,US,MI
174,1,-5458460985938131934,2016-02-04T04:30:19.215Z,1,0,138.76,96,35264,6791568714796518563,0.0,96,120,CA,QC
175,0,-5458460985938131934,2016-02-04T04:30:19.215Z,1,0,101.38,93,2521,-5016003493506265192,44.87,24,48,US,VA
176,0,-5458460985938131934,2016-02-04T04:30:19.215Z,1,0,135.08,96,41419,9012427554787096099,12.0,24,48,,
177,0,-5458460985938131934,2016-02-04T04:30:19.215Z,0,0,147.08,99,79,-1869213145998141353,0.0,24,48,,
178,0,-5458460985938131934,2016-02-04T04:30:19.215Z,1,0,147.08,95,5535,-8852182251270724705,0.0,24,48,,
179,0,-5458460985938131934,2016-02-04T04:30:19.215Z,1,0,148.82,91,3459,7235704646333918828,0.0,24,48,,
180,0,-5458460985938131934,2016-02-04T04:30:19.215Z,0,0,149.29,96,1326,8648764257939339698,0.0,24,48,,
181,0,-5458460985938131934,2016-02-04T04:30:19.215Z,1,0,144.76,96,7090,-373508113925093038,12.95,24,48,CA,ON
182,0,-5458460985938131934,2016-02-04T04:30:19.215Z,1,0,133.43,97,4513,622743086816758000,30.98,144,240,US,NJ
183,0,-5458460985938131934,2016-02-04T04:30:19.215Z,1,0,168.38,91,10606,-1177408302343430963,5.0,24,48,,
184,0,-5458460985938131934,2016-02-04T04:30:19.215Z,1,0,169.95,91,10606,-1177408302343430963,5.0,24,48,,
185,0,-5458460985938131934,2016-02-04T04:30:19.215Z,1,0,176.93,91,10606,-1177408302343430963,5.0,24,48,,
186,0,-5458460985938131934,2016-02-04T04:30:19.215Z,0,0,169.99,92,51,8994525145737931518,20.5,144,240,CA,ON
187,0,-5458460985938131934,2016-02-04T04:30:19.215Z,1,0,198.25,96,1790,1788801474825896666,9.98,96,120,US,NY
188,0,-5458460985938131934,2016-02-04T04:30:19.215Z,1,0,208.29,98,1446,1163115142515862290,0.0,24,48,US,CA
189,0,-5458460985938131934,2016-02-04T04:30:19.215Z,1,0,200.3,96,1790,1788801474825896666,9.98,96,120,US,NY
